ID,Gender,Location,Employment_Type,Work_Format,Company_Size,Experience_Level,Sector,Position,Average_Salary,J,L,Average_Salary_Numeric
392,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Yeminli Tercümanlık,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
393,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,İnsan Kaynakları Uzman Yardımcısı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
394,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,9-12 Yıl,Diğer,Assistant Manager,61.000-70.000 TL,111.000-150.000 TL,%21-%35,65500.0
395,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Doktora Sonrası Araştırmacı,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
396,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,7-9 Yıl,Diğer,Kıdemli Avukat,61.000-70.000 TL,Ek gelirim yok,Almadım,65500.0
397,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Hasta Ve Yaşlı Bakıcı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
398,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Diğer,Muhasebe Kamu,41.000-50.000 TL,31.000-50.000 TL,%21-%35,45500.0
399,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Avukat,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
400,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Brand Manager,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
401,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Avukat,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
402,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,7-9 Yıl,Diğer,Kurumsal İletişim Yönetmeni,41.000-50.000 TL,Ek gelirim yok,%11-%20,45500.0
403,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Muhasebe Sorumlusu,21.000-30.000 TL,150.000 TL ve üstü,Almadım,25500.0
404,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Mağaza Sorumlusu,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
405,Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,İhracat Satış Destek Ve Operasyon Uzmanı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
406,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Diğer,Satış Pazarlama Uzman Yardımcısı,31.000-40.000 TL,20.000-30.000 TL,%5-%10,35500.0
407,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Lojistik Ve Dış Ticaret Uzmanı,31.000-40.000 TL,31.000-50.000 TL,%21-%35,35500.0
408,Kadın,Yurt dışı,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Operations Agent (Kişisel Banka Operasyon Uzmanı),31.000-40.000 TL,20.000-30.000 TL,Almadım,35500.0
409,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Grafik Tasarımcı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
410,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Product Manager,41.000-50.000 TL,150.000 TL ve üstü,%11-%20,45500.0
411,Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,1-3 Yıl,Diğer,Gemi Operasyon Gider Kontrol Uzmanı,31.000-40.000 TL,Ek gelirim yok,%5-%10,35500.0
412,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,9-12 Yıl,Diğer,Hukuk Uzmani,61.000-70.000 TL,Ek gelirim yok,%11-%20,65500.0
413,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Diğer,Satınalma Uzmanı,31.000-40.000 TL,91.000-110.000 TL,%11-%20,35500.0
414,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Diğer,Müşteri Temsilcisi,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
415,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Diğer,Satın Alma Mühendisi,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
416,Kadın,Yurt dışı,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Diğer,Program Manager,91.000-100.000 TL,111.000-150.000 TL,Almadım,95500.0
417,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,7-9 Yıl,Diğer,Idari Ve Ticari Isler Muduru,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
418,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,7-9 Yıl,Diğer,Cost Control Uzmanı,31.000-40.000 TL,31.000-50.000 TL,%21-%35,35500.0
419,Erkek,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Diğer,Art Director,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
420,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Diğer,Kimyager,21.000-30.000 TL,Ek gelirim yok,%11-%20,25500.0
421,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,İhracat Sorumlusu,31.000-40.000 TL,Ek gelirim yok,%5-%10,35500.0
422,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Şef,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
423,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Ziraat Mühendisi,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
424,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Dijital Pazarlama Seo Executive,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
425,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Diğer,Lojistik Sorumlusu,61.000-70.000 TL,Ek gelirim yok,Almadım,65500.0
426,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Avukat,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
427,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Diğer,Muhasebe Uzmanı,41.000-50.000 TL,31.000-50.000 TL,%11-%20,45500.0
428,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Diğer,Yurt Dışı Iş Geliştirme Ve Satış Uzmanı,31.000-40.000 TL,31.000-50.000 TL,%11-%20,35500.0
429,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,7-9 Yıl,Diğer,Pazarlama Uzmanı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
430,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Diğer,İnsan Kaynakları Uzmanı,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
431,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Diğer,Müşteri Temsilcisi,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
432,Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,3-5 Yıl,Diğer,Legal Secretary,71.000-80.000 TL,Ek gelirim yok,Henuz belli degil,75500.0
433,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Diğer,Avukat,41.000-50.000 TL,150.000 TL ve üstü,Almadım,45500.0
434,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Diğer,Dijital Iletişim Uzmanı,41.000-50.000 TL,20.000-30.000 TL,Almadım,45500.0
435,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,7-9 Yıl,Diğer,Sportif Uzman,41.000-50.000 TL,Ek gelirim yok,%11-%20,45500.0
436,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Diğer,Regional Key Account Manager,81.000-90.000 TL,111.000-150.000 TL,Almadım,85500.0
437,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Avukat,10.000-20.000 TL,Ek gelirim yok,Henuz belli degil,15000.0
438,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Diğer,Sosyal Hizmet Uzmanı,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
439,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Diğer,İnsan Kaynakları Meslek Elemanı,10.000-20.000 TL,Ek gelirim yok,Henuz belli degil,15000.0
440,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,3-5 Yıl,Diğer,Finansal Güvence Uzmanı,41.000-50.000 TL,71.000-90.000 TL,Almadım,45500.0
441,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,9-12 Yıl,Diğer,Sistem İşletme Uzmanı,51.000-60.000 TL,31.000-50.000 TL,%11-%20,55500.0
442,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Diğer,Satış Danışmanı,10.000-20.000 TL,20.000-30.000 TL,Almadım,15000.0
443,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,İdari Işler Uzmanı,51.000-60.000 TL,91.000-110.000 TL,Almadım,55500.0
444,Erkek,Türkiye,Tam zamanlı,Ofiste,100-149,12 ve ustu,Diğer,İhracat Dokümantasyon Uzmanı,31.000-40.000 TL,20.000-30.000 TL,Almadım,35500.0
445,Erkek,Türkiye,Tam zamanlı,Ofiste,100-149,9-12 Yıl,Diğer,Lojistik Operasyon Uzmanı,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
446,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,3-5 Yıl,Diğer,İnsan Kaynakları Asistanı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
447,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,3-5 Yıl,Diğer,Resepsiyonist,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
448,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Tedarik Zinciri Uzmanı- Müşteri Hizmetleri,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
449,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,5-7 Yıl,Diğer,Marka Yöneticisi,31.000-40.000 TL,Ek gelirim yok,%5-%10,35500.0
450,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Diğer,Müşteri Temsilcisi,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
451,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,3-5 Yıl,Diğer,İnsan Kaynakları Uzmanı,41.000-50.000 TL,Ek gelirim yok,%21-%35,45500.0
452,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,9-12 Yıl,Diğer,Ticari Pazarlama Müdürü,71.000-80.000 TL,Ek gelirim yok,%11-%20,75500.0
453,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Diğer,Müşteri Hizmetleri,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
454,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Proje Uzmanı,41.000-50.000 TL,Ek gelirim yok,%5-%10,45500.0
455,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Hukuk İşleri Yetkilisi,21.000-30.000 TL,Ek gelirim yok,%11-%20,25500.0
456,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Brand Manager,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
457,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,7-9 Yıl,Diğer,Sosyal Hizmet Uzmanı/Sosyal Çalışmacı,41.000-50.000 TL,Ek gelirim yok,%5-%10,45500.0
458,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Avukat,41.000-50.000 TL,Ek gelirim yok,%11-%20,45500.0
459,Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,0-1 Yıl,Diğer,Kalite Mühendisliği,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
460,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Diğer,Analist,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
461,Kadın,Türkiye,Yarı zamanlı,Hybrid,1-49,0-1 Yıl,Diğer,Sales Administrator,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
462,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Diğer,Banka Müşteri Temsilcisi,21.000-30.000 TL,20.000-30.000 TL,%11-%20,25500.0
463,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Diğer,Zabıt Katibi,41.000-50.000 TL,Ek gelirim yok,%21-%35,45500.0
464,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Avukat,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
465,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Dış Ticaret Operasyon,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
466,Kadın,Türkiye,Yarı zamanlı,Ofiste,1-49,5-7 Yıl,Diğer,Uzman Psikolog,101.000-120.000 TL,Ek gelirim yok,%11-%20,110500.0
467,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Sosyal Hizmet Uzmanı,31.000-40.000 TL,Ek gelirim yok,%36-%50,35500.0
468,Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,0-1 Yıl,Diğer,Kalite Mühendisi,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
469,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Uluslararası Pazarlama Uzmanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
470,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,5-7 Yıl,Diğer,Avukat,10.000-20.000 TL,Ek gelirim yok,Henuz belli degil,15000.0
471,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Uzman Yardımcısı,31.000-40.000 TL,51.000-70.000 TL,%21-%35,35500.0
472,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Diğer,İhracat Satış Uzmanı,41.000-50.000 TL,Ek gelirim yok,%5-%10,45500.0
473,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Diğer,Operation Manager \ Vessel Operator,81.000-90.000 TL,150.000 TL ve üstü,%21-%35,85500.0
474,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Satis Danısmanı,21.000-30.000 TL,Ek gelirim yok,Henuz belli degil,25500.0
475,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Operasyon Uzmanı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
476,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Muhasebe,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
477,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Stajyer Avukat,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
478,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,9-12 Yıl,Diğer,Jeoloji Mühendisi,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
479,Belirtmek Istemiyorum,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Tercüman (Iki Dil),21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
480,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Stajyer Avukat,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
481,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Uzman Yardımcısı,61.000-70.000 TL,51.000-70.000 TL,%21-%35,65500.0
482,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Diğer,Müşteri Iletişimi Ve Pazarlama Asistanı,31.000-40.000 TL,Ek gelirim yok,%21-%35,35500.0
483,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,12 ve ustu,Diğer,İdari Işler Sorumlusu,41.000-50.000 TL,51.000-70.000 TL,%5-%10,45500.0
484,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Diğer,Kalite Güvence Uzmanı,31.000-40.000 TL,Ek gelirim yok,%5-%10,35500.0
485,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Insan Kaynakları Uzmanı,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
486,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Pazarlama Uzman Yardımcısı,31.000-40.000 TL,31.000-50.000 TL,%11-%20,35500.0
487,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Belediye Büro Personeli,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
488,Erkek,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Diğer,Art Director,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
489,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,3-5 Yıl,Diğer,Brand Manager,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
490,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Social Media Content Creator,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
491,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,12 ve ustu,Diğer,Business Development Manager,71.000-80.000 TL,Ek gelirim yok,Almadım,75500.0
492,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Diğer,Account Manager/ Sales Development Representative,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
493,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Diğer,Senior Performance Marketing Specialist,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
494,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Logistics Operations,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
495,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Bölge Satış Yöneticisi,21.000-30.000 TL,20.000-30.000 TL,Almadım,25500.0
496,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Senior Meal Officer,51.000-60.000 TL,Ek gelirim yok,Almadım,55500.0
497,Erkek,Yurt dışı,Tam zamanlı,Hybrid,1-49,12 ve ustu,Diğer,Satış Müdürü,61.000-70.000 TL,150.000 TL ve üstü,Almadım,65500.0
498,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Diğer,Avukat,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
499,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Ziraat Mühendisi,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
500,Kadın,Yurt dışı,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Diğer,Proje Finans Yöneticisi,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
501,Belirtmek Istemiyorum,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Diğer,Tedarik Zinciri Uzmanı,51.000-60.000 TL,51.000-70.000 TL,%5-%10,55500.0
502,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Program Koordinatörü,51.000-60.000 TL,Ek gelirim yok,%5-%10,55500.0
503,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,İhracat Operasyon Uzmanı,31.000-40.000 TL,Ek gelirim yok,Henuz belli degil,35500.0
504,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,5-7 Yıl,Diğer,Pazarlama Uzmanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
505,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Diğer,Analyst Consultant,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
506,Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Diğer,Sigorta,21.000-30.000 TL,Ek gelirim yok,%11-%20,25500.0
507,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Diğer,Dış Ticaret Operasyon Uzman Yardımcısı,41.000-50.000 TL,31.000-50.000 TL,%21-%35,45500.0
508,Kadın,Türkiye,Yarı zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,İnsan Ve Kültür Asistanı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
509,Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,1-3 Yıl,Diğer,Yardımcı Marka Müdürü,51.000-60.000 TL,Ek gelirim yok,Henuz belli degil,55500.0
510,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Avukat,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
511,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,3-5 Yıl,Diğer,Kripto Varlık Uzmanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
512,Kadın,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Diğer,Ticari Pazarlama Uzman Yardımcısı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
513,Kadın,Yurt dışı,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Diğer,Yazılım,101.000-120.000 TL,Ek gelirim yok,Henuz belli degil,110500.0
514,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Diğer,İş Geliştirme Uzman Yardımcısı,31.000-40.000 TL,71.000-90.000 TL,%5-%10,35500.0
515,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Dijital Pazarlama Asistanı,21.000-30.000 TL,Ek gelirim yok,%21-%35,25500.0
516,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Muhasebe Meslek Elemanı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
517,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Profitability And Budgeting,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
518,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Recruitment Team Lead,31.000-40.000 TL,111.000-150.000 TL,%21-%35,35500.0
519,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,0-1 Yıl,Diğer,Kalite Yönetim Sistemleri Sorumlusu,21.000-30.000 TL,71.000-90.000 TL,%11-%20,25500.0
520,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Diğer,Senior,31.000-40.000 TL,Ek gelirim yok,%21-%35,35500.0
521,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Stajyer Avukat,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
522,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Sorumlu,21.000-30.000 TL,Ek gelirim yok,%11-%20,25500.0
523,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Diğer,İnsan Kaynakları Uzmanı,41.000-50.000 TL,31.000-50.000 TL,%11-%20,45500.0
524,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Pazarlama Uzman Yardımcısı,41.000-50.000 TL,150.000 TL ve üstü,%11-%20,45500.0
525,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Operasyon Koordinatör Yardımcısı,10.000-20.000 TL,Ek gelirim yok,%11-%20,15000.0
526,Erkek,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,12 ve ustu,Diğer,Muhasebe Uzamani,21.000-30.000 TL,71.000-90.000 TL,Almadım,25500.0
527,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Diğer,Editör,21.000-30.000 TL,Ek gelirim yok,%11-%20,25500.0
528,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Diğer,Dijital Ekran Yayın Sorumlusu,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
529,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Fakülde İdari Asistanı (Üniversite),21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
530,Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,7-9 Yıl,Diğer,Product Team Lead,91.000-100.000 TL,111.000-150.000 TL,Almadım,95500.0
531,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,Lojistik Uzmanı,31.000-40.000 TL,150.000 TL ve üstü,%5-%10,35500.0
532,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Psikolog,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
533,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Diğer,İhale Yönetimi Uzman Yardımcısı,21.000-30.000 TL,20.000-30.000 TL,Almadım,25500.0
534,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,1-3 Yıl,Diğer,Muhasebe Elemanı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
535,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Diğer,Consultant,51.000-60.000 TL,51.000-70.000 TL,%21-%35,55500.0
536,Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Digital Marketing Director,101.000-120.000 TL,Ek gelirim yok,Almadım,110500.0
537,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Diğer,Sosyal Medya Uzmanı,31.000-40.000 TL,Ek gelirim yok,%36-%50,35500.0
538,Kadın,Türkiye,Yarı zamanlı,Ofiste,1-49,0-1 Yıl,Diğer,Diş Hekimi Asistanı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
539,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,3-5 Yıl,Diğer,Sekreter,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
540,Kadın,Türkiye,Tam zamanlı,Ofiste,200 ve ustu,1-3 Yıl,Diğer,Yurt İçi̇ Satiş Operasyon,21.000-30.000 TL,20.000-30.000 TL,Almadım,25500.0
